13692	166	4132
8078	43	8152
13947	110	3152
10035	203	9546
2043	209	8685
8541	196	2236
7852	158	1527
2374	94	3933
2067	93	11362
14359	6	8508
1922	167	1250
12015	129	13513
9791	17	2400
13234	108	2562
5252	191	2197
9940	93	6044
11310	75	10775
14338	158	13405
4683	206	11310
423	93	7607
1484	94	2662
6284	0	5565
11521	148	4992
9921	150	5705
11775	163	12023
7425	119	3065
4506	163	4728
5957	19	12185
9582	108	2562
4779	145	2963
4833	56	11310
4676	0	11356
12358	18	1308
1544	143	3553
6264	115	537
8749	108	1288
2950	94	4993
12953	123	11310
7933	158	613
1792	107	12408
3715	228	11673
11924	123	11310
11037	93	10540
720	150	4367
11116	77	8320
4032	203	11232
3887	211	6949
1766	82	2009
11871	107	2292
4151	194	2009
9570	126	13035
4452	222	4026
4293	109	2351
3627	170	695
6117	158	2988
13073	213	4758
6049	203	9994
1342	158	4450
5823	18	1308
6478	228	235
11515	93	5010
5957	19	802
11481	209	11092
5280	123	13312
8938	18	1308
566	61	3915
3635	127	7041
1975	189	1270
7020	19	8919
5249	129	13513
14366	0	7689
6573	203	13960
14223	18	1308
3737	77	12744
1227	18	1308
4974	6	12503
923	171	10191
11463	212	10857
10348	197	61
5774	77	2246
4075	129	13513
3103	56	4138
8375	58	11621
5009	207	14319
6651	108	11310
9363	18	1308
2817	108	6289
2340	191	10810
610	105	6289
3984	77	431
4250	13	13354
13576	158	2340
12010	19	13034
8795	212	5827
20	141	9778
14110	77	4609
1974	66	10810
11436	93	10266
4100	150	4615
6842	123	10304
3186	143	8711
9087	54	2695
7611	136	1104
9997	228	10707
9686	176	8892
6069	43	14395
3795	95	12881
51	94	3551
10537	127	4974
6228	54	4232
14315	108	985
13377	158	7278
12832	110	11691
2512	81	2512
11785	145	5459
2658	164	5929
5669	189	12091
7736	0	2041
11885	83	14490
3905	170	13909
3771	31	10874
12500	24	2009
10390	153	4917
11245	78	5666
1996	170	10894
14238	170	2383
13010	0	2041
2426	167	9108
9847	108	6166
5080	210	5491
10781	196	2236
7611	170	4588
10347	94	7027
2022	0	360
9978	1	13048
3348	86	4550
8768	183	7909
339	129	13513
9533	170	10463
10385	93	298
9745	93	11610
5785	77	13947
874	188	3387
13711	150	7484
4889	158	8842
2341	163	2481
6426	93	1688
1413	211	3647
9771	94	13932
1131	159	13397
2692	172	1934
7281	191	1337
1900	17	9610
3659	93	11834
13553	197	492
7599	150	214
5297	44	380
1982	18	1308
5475	158	14130
3023	77	431
1764	108	10689
8867	201	2904
10438	123	11310
10522	170	2545
2292	146	14367
5577	66	2197
5213	144	10671
14434	23	5847
11121	93	6025
3689	108	9213
8737	108	1288
7231	41	14164
793	150	7089
9717	158	6828
13797	93	13940
3600	59	11328
4859	195	2139
3124	203	7951
8706	75	6922
3399	150	4591
2483	86	2879
9957	20	3855
13003	150	6568
7906	150	235
3207	183	9804
2437	94	7836
7760	26	5697
4621	143	12053
7439	98	1736
168	115	1313
8437	163	11510
5613	119	13023
5684	56	46
9640	25	9640
11524	163	12012
121	94	14102
14037	115	5783
4709	93	9489
9856	49	11729
11641	43	3661
9861	93	10531
5922	163	1407
12892	228	5243
9382	177	6278
2203	108	11310
8447	163	8606
12819	94	5562
8879	93	6931
2211	123	8705
6665	171	11657
6506	93	4873
13749	162	8394
2483	86	9160
11292	105	11310
5243	94	10957
5728	0	7560
8649	93	7465
10194	150	11319
1214	209	6367
13234	108	380
8112	43	11221
689	94	7542
13493	183	4158
12833	207	6628
2288	93	13244
8127	211	7943
13722	195	3955
12813	158	4075
5541	19	7704
2170	158	1694
4649	78	3983
1517	75	13207
5982	212	3293
6752	158	2566
4528	150	11673
51	94	2245
546	93	6621
4926	0	12556
8439	121	9884
3395	207	7910
7041	41	12356
6660	77	6363
122	230	11507
8518	207	6365
11310	48	3332
11369	25	11369
7371	159	6537
12389	129	13513
308	172	10600
3836	158	9508
1435	105	8705
9732	94	8811
13657	191	10810
1038	94	1614
4185	150	7
4701	171	10191
3795	95	11178
4595	163	843
5556	77	9853
14007	167	11754
12407	77	4340
11133	1	7164
6983	108	2034
1327	211	3152
13188	18	1308
6277	71	12007
8146	41	13943
7853	230	243
13932	228	5463
5813	112	3194
5353	143	12053
7821	43	412
12818	233	4874
10560	203	8922
5345	69	10514
4548	108	3855
10695	108	10304
9446	93	5181
6826	94	12105
9356	18	1308
14224	94	3614
4974	189	12946
11905	56	46
9792	60	3258
5005	105	8705
11606	59	7143
3588	77	13947
11228	232	6596
762	0	263
10550	170	8537
2131	29	11491
476	216	14063
9345	108	2292
1526	171	10191
7554	170	13617
6814	107	13692
2834	170	2793
6958	163	7822
11013	75	12454
11258	123	11310
12935	196	11092
870	171	10191
13752	207	3149
8852	18	1308
9942	213	6713
3601	7	11208
541	94	4903
338	94	743
2406	203	944
7694	150	7911
9055	22	8333
5952	162	7388
5587	84	12970
8447	163	1422
5553	150	711
10431	222	4920
3534	170	10866
3169	197	5123
1864	55	8952
3767	110	1902
13455	60	845
3531	17	2889
7157	167	11754
5011	123	11310
12794	158	7808
6908	167	9442
1950	75	6173
6596	126	2076
11571	222	4026
9339	178	8506
6611	98	1736
12673	112	10783
11072	41	5929
2519	56	46
5048	177	4895
2590	226	3438
8052	201	12893
4731	41	13943
5351	167	1668
8825	150	11955
8718	108	11310
7761	230	11280
3082	227	3114
2879	107	14168
11107	94	1751
5987	126	7477
8206	70	4929
13455	189	4375
3084	179	1934
12844	150	713
5499	215	12307
11732	105	11310
2568	171	10191
1770	172	3421
12797	17	1097
12855	86	8943
7138	41	7231
5811	108	3855
60	228	4402
985	172	13658
13317	23	8482
8154	230	2117
3221	75	16
12302	108	11400
368	197	2308
10491	190	4895
10819	162	7626
4895	29	13558
7709	0	5936
3614	228	6826
8817	43	2594
737	158	2698
2469	18	1308
12779	99	12418
11973	77	8012
14492	110	5617
3383	162	12956
9479	118	2009
3357	93	2641
4402	207	1887
8127	170	34
12808	203	9690
6504	225	10728
11384	93	9852
10624	203	3347
13664	97	10514
13136	228	3950
12741	22	9253
2527	163	6144
1511	203	1980
11648	75	2401
3894	93	14099
159	1	13048
984	93	6346
10161	93	1113
14016	207	12132
3892	196	6367
8407	50	11083
5170	227	10222
7030	183	3191
7797	196	8685
11955	94	7393
8519	183	13756
12485	62	9492
9213	172	5828
7231	41	10564
5256	123	6289
9438	94	13295
325	0	360
7362	115	13078
7252	170	764
7800	170	1456
1561	150	7679
672	150	1179
14324	150	8603
14359	6	4495
7798	22	11200
14197	163	1352
7618	93	14424
8854	75	8351
4974	41	12604
7821	66	10810
7266	40	14519
13560	228	13226
13672	109	11006
11828	211	12386
7293	14	9996
3698	175	6739
13655	145	2963
8302	203	7467
8182	201	12871
3875	225	7270
5850	105	11310
6719	19	5424
3396	150	11965
12503	41	12514
8718	77	431
6847	51	14246
1313	203	9364
4742	61	8505
2212	203	9802
8962	121	9884
3598	121	9884
10582	116	524
14099	170	6811
3967	101	7938
13916	150	14329
9905	31	12640
2254	70	10512
13952	226	2671
6205	36	6482
11981	123	1770
1884	126	4777
95	0	5941
6811	190	4895
9273	224	3583
4974	189	5368
12827	6	4974
13360	148	10485
4286	211	12167
10790	24	2009
14309	0	2537
1836	203	13820
5450	195	1261
235	94	10630
4032	93	8965
2854	225	13635
5009	207	12012
10579	0	2041
12766	219	5279
13655	220	12968
4398	61	320
2426	167	6264
6308	108	846
3467	0	5663
2875	93	5334
7593	83	7468
7214	29	10349
10097	129	13513
9696	94	13234
9953	163	11909
14363	171	11657
1879	105	11310
13097	163	1023
8282	108	8936
2017	56	7925
9150	228	9275
131	94	12990
13602	159	4443
2245	108	2292
8568	77	13872
11271	110	4096
3976	199	13953
1927	93	5724
14016	207	1441
2072	108	1051
7775	83	7768
5288	196	8685
651	1	2844
6651	123	11310
8017	119	2190
2762	0	13174
4190	207	6256
4592	190	6343
8577	107	3855
4080	162	1010
2344	0	8093
8581	52	7148
279	191	10810
214	94	8395
2590	19	1932
10185	191	14313
12231	201	241
1642	150	8092
4348	75	3797
11217	0	8093
2289	150	12081
14365	203	11610
4731	60	9059
7106	145	4951
4476	94	2150
3660	158	1360
13631	163	14024
6941	162	9107
5351	94	11565
2379	191	10810
7041	189	3022
1055	77	12744
7536	170	1665
10499	143	10900
2649	94	9653
2869	86	8943
10876	185	2139
7157	167	10353
670	209	8685
9158	196	6367
5080	210	10670
11644	207	9237
12544	157	5795
8474	171	11657
6108	203	6506
10325	34	5666
1604	3	8079
14303	216	11288
6947	63	2009
2149	150	3552
4218	81	4218
3551	228	4935
3659	0	13174
13002	108	6289
4226	56	3623
4630	167	8107
5168	64	11873
12220	203	7284
10584	17	5743
3552	94	10000
8387	107	5272
1421	196	6367
12539	59	9578
11955	207	8637
4764	163	4737
2195	150	7911
4975	190	1141
1902	228	13143
3239	162	3268
5351	94	4435
11975	150	6908
5020	126	686
2885	79	2692
10076	111	2146
2076	83	7321
1232	0	10589
14127	41	5876
9312	171	11657
5410	108	11400
14182	19	2229
14479	226	2981
5791	27	8705
607	105	11310
12160	141	11556
8288	7	7435
2526	94	4412
1295	173	12874
308	75	13268
3386	118	2009
7138	6	12874
7951	93	13039
6376	143	14295
10023	150	14007
254	108	13029
7665	107	6289
2825	201	1809
7170	123	308
8467	150	9011
8919	93	7361
3627	170	7281
3195	0	5455
8508	41	5929
6665	158	14275
12920	230	12526
12766	219	4562
14129	183	1827
1588	93	379
1413	211	3188
13078	93	9745
10395	115	14004
13424	109	9437
6287	150	9383
2649	94	9750
346	112	8946
11048	108	13539
3156	93	5454
13590	197	14195
2896	158	3615
8625	194	2009
8573	121	9884
2658	6	10045
3228	183	829
11106	32	8705
280	154	6049
1117	191	10810
3652	19	3879
704	93	4410
4591	94	10094
13455	41	8832
7296	34	8994
4700	123	3319
13947	110	4545
12440	150	14041
755	56	10311
9682	119	6980
6825	207	10612
1033	116	886
6034	144	3052
10094	228	14417
9616	150	7077
11507	211	4565
5708	56	12513
6166	75	6639
8302	170	8811
13940	93	7467
11486	93	3295
2767	108	2692
4081	150	11150
9359	228	121
1859	149	10795
1005	108	13029
1957	173	13455
12466	22	1417
830	108	6860
8722	115	13619
12531	41	8385
6389	122	10592
10498	37	2009
79	83	11721
13775	118	2009
7170	108	846
1051	146	10824
2998	119	11247
7998	17	4869
12092	127	7041
14049	143	336
189	97	10514
4057	121	9884
5114	150	11977
